year,subject,topic,question_text,marks,difficulty
2020,Computer Science,Data Structures,Explain the difference between stack and queue.,5,0.32
2020,Computer Science,Algorithms,Write merge sort and analyze complexity.,8,0.68
2021,Computer Science,DBMS,Describe normalization and why it matters.,5,0.51
2021,Computer Science,Machine Learning,Explain supervised vs unsupervised learning.,5,0.47
2022,Computer Science,Data Structures,Implement linked list traversal.,8,0.61
2022,Computer Science,Algorithms,Explain Dijkstra shortest path algorithm.,10,0.77
2023,Computer Science,DBMS,What is an ACID transaction? Explain.,5,0.44
2023,Computer Science,Machine Learning,Describe the bias-variance tradeoff.,8,0.73
2024,Computer Science,Data Structures,Compare tree and graph traversals.,5,0.55
2024,Computer Science,Algorithms,Design a greedy algorithm for scheduling.,10,0.82
2020,Mathematics,Calculus,State and explain the fundamental theorem of calculus.,5,0.58
2021,Mathematics,Linear Algebra,Find eigenvalues for a matrix.,8,0.72
2022,Mathematics,Probability,Compute the expected value of a random variable.,5,0.39
2023,Mathematics,Calculus,Find the derivative of a composite function.,5,0.35
2024,Mathematics,Probability,Explain Bayes theorem with an example.,8,0.66
